Revenue_Group,$120K +,$40K - $60K,$60K - $80K,$80K - $120K,Less than $40K,Unknown
Low Value,0.1165086887835703,0.14178515007898895,0.15086887835703003,0.1970774091627172,0.28791469194312796,0.10584518167456557
Medium Value,0.08491311216429699,0.17377567140600317,0.16311216429699843,0.17772511848341233,0.28475513428120064,0.11571879936808847
High Value,0.04938759383642829,0.18135124456736468,0.1430264717502963,0.13433425523508494,0.38680363492690634,0.1050967996839194
Very High Value,0.036334913112164295,0.21011058451816747,0.09676145339652449,0.0971563981042654,0.4470774091627172,0.11255924170616113
